country1,country2,code1,code2,visa_type,lat2,lng2,lat1,lng1
Afghanistan,Jamaica,AFG,JAM,4,17.9771,-76.7674,34.5167,69.1833
Afghanistan,Japan,AFG,JPN,4,35.685,139.7514,34.5167,69.1833
Afghanistan,Jordan,AFG,JOR,4,31.95,35.9333,34.5167,69.1833
Afghanistan,Kazakhstan,AFG,KAZ,4,51.1811,71.4278,34.5167,69.1833
Afghanistan,Kenya,AFG,KEN,4,-1.2833,36.8167,34.5167,69.1833
Afghanistan,Kiribati,AFG,,4,1.3382,173.0176,34.5167,69.1833
Afghanistan,Kuwait,AFG,KWT,4,29.3697,47.9783,34.5167,69.1833
Afghanistan,Kyrgyzstan,AFG,KGZ,4,42.8731,74.5852,34.5167,69.1833
Afghanistan,Laos,AFG,LAO,4,17.9667,102.6,34.5167,69.1833
Afghanistan,Latvia,AFG,LVA,4,56.95,24.1,34.5167,69.1833
Afghanistan,Lebanon,AFG,LBN,4,33.872,35.5097,34.5167,69.1833
Afghanistan,Lesotho,AFG,LSO,4,-29.3167,27.4833,34.5167,69.1833
Afghanistan,Liberia,AFG,LBR,4,6.3106,-10.8048,34.5167,69.1833
Afghanistan,Libya,AFG,LBY,4,32.8925,13.18,34.5167,69.1833
Afghanistan,Liechtenstein,AFG,,4,47.1337,9.5167,34.5167,69.1833
Afghanistan,Lithuania,AFG,LTU,4,54.6834,25.3166,34.5167,69.1833
Afghanistan,Luxembourg,AFG,LUX,4,49.6117,6.13,34.5167,69.1833
Afghanistan,Macedonia,AFG,MKD,4,42,21.4335,34.5167,69.1833
Afghanistan,Madagascar,AFG,MDG,1,-18.9166,47.5166,34.5167,69.1833
Afghanistan,Malawi,AFG,MWI,4,-13.9833,33.7833,34.5167,69.1833
Afghanistan,Malaysia,AFG,MYS,4,3.1667,101.7,34.5167,69.1833
Afghanistan,Maldives,AFG,,1,4.1667,73.4999,34.5167,69.1833
Afghanistan,Mali,AFG,MLI,4,12.65,-8,34.5167,69.1833
Afghanistan,Malta,AFG,,4,35.8997,14.5147,34.5167,69.1833
Afghanistan,Marshall Islands,AFG,,4,7.103,171.38,34.5167,69.1833
Afghanistan,Mauritania,AFG,MRT,1,18.0864,-15.9753,34.5167,69.1833
Afghanistan,Mauritius,AFG,,4,-20.1666,57.5,34.5167,69.1833
Afghanistan,Mexico,AFG,MEX,4,19.4424,-99.131,34.5167,69.1833
Afghanistan,Moldova,AFG,MDA,4,47.005,28.8577,34.5167,69.1833
Afghanistan,Monaco,AFG,,4,43.7396,7.4069,34.5167,69.1833
Afghanistan,Mongolia,AFG,MNG,4,47.9167,106.9166,34.5167,69.1833
Afghanistan,Montenegro,AFG,MNE,4,42.466,19.2663,34.5167,69.1833
Afghanistan,Morocco,AFG,MAR,4,34.0253,-6.8361,34.5167,69.1833
Afghanistan,Mozambique,AFG,MOZ,1,-25.9553,32.5892,34.5167,69.1833
Afghanistan,Namibia,AFG,NAM,4,-22.57,17.0835,34.5167,69.1833
Afghanistan,Nepal,AFG,NPL,4,27.7167,85.3166,34.5167,69.1833
Afghanistan,Netherlands,AFG,NLD,4,52.35,4.9166,34.5167,69.1833
Afghanistan,Netherlands,AFG,NLD,4,52.08,4.27,34.5167,69.1833
Afghanistan,New Zealand,AFG,NZL,4,-41.3,174.7833,34.5167,69.1833
Afghanistan,Nicaragua,AFG,NIC,4,12.153,-86.2685,34.5167,69.1833
Afghanistan,Niger,AFG,NER,4,13.5167,2.1167,34.5167,69.1833
Afghanistan,Nigeria,AFG,NGA,4,9.0833,7.5333,34.5167,69.1833
Afghanistan,Norway,AFG,NOR,4,59.9167,10.75,34.5167,69.1833
Afghanistan,Oman,AFG,OMN,4,23.6133,58.5933,34.5167,69.1833
Afghanistan,Pakistan,AFG,PAK,4,33.7,73.1666,34.5167,69.1833
Afghanistan,Palau,AFG,,1,7.5,134.6242,34.5167,69.1833
Afghanistan,Panama,AFG,PAN,4,8.968,-79.533,34.5167,69.1833
Afghanistan,Papua New Guinea,AFG,PNG,4,-9.4647,147.1925,34.5167,69.1833
Afghanistan,Paraguay,AFG,PRY,4,-25.2964,-57.6415,34.5167,69.1833
Afghanistan,Peru,AFG,PER,4,-12.048,-77.0501,34.5167,69.1833
Afghanistan,Philippines,AFG,PHL,4,14.6042,120.9822,34.5167,69.1833
Afghanistan,Poland,AFG,POL,4,52.25,21,34.5167,69.1833
Afghanistan,Portugal,AFG,PRT,4,38.7227,-9.1449,34.5167,69.1833
Afghanistan,Qatar,AFG,QAT,4,25.2866,51.533,34.5167,69.1833
Afghanistan,Romania,AFG,ROU,4,44.4334,26.0999,34.5167,69.1833
Afghanistan,Russia,AFG,RUS,4,55.7522,37.6155,34.5167,69.1833
Afghanistan,Rwanda,AFG,RWA,4,-1.9536,30.0605,34.5167,69.1833
Afghanistan,Saint Lucia,AFG,,4,14.002,-61,34.5167,69.1833
Afghanistan,Samoa,AFG,,1,-13.8415,-171.7386,34.5167,69.1833
Afghanistan,San Marino,AFG,,4,43.9172,12.4667,34.5167,69.1833
Afghanistan,Saudi Arabia,AFG,SAU,4,24.6408,46.7727,34.5167,69.1833
Afghanistan,Senegal,AFG,SEN,4,14.7158,-17.4731,34.5167,69.1833
Afghanistan,Serbia,AFG,SRB,4,44.8186,20.468,34.5167,69.1833
Afghanistan,Seychelles,AFG,,1,-4.6166,55.45,34.5167,69.1833
Afghanistan,Sierra Leone,AFG,SLE,4,8.47,-13.2342,34.5167,69.1833
Afghanistan,Singapore,AFG,,4,1.293,103.8558,34.5167,69.1833
Afghanistan,Slovakia,AFG,SVK,4,48.15,17.117,34.5167,69.1833
Afghanistan,Slovenia,AFG,SVN,4,46.0553,14.515,34.5167,69.1833
Afghanistan,Solomon Islands,AFG,SLB,4,-9.438,159.9498,34.5167,69.1833
Afghanistan,Somalia,AFG,SOM,4,2.0667,45.3667,34.5167,69.1833
Afghanistan,South Africa,AFG,ZAF,4,-25.7069,28.2294,34.5167,69.1833
Afghanistan,South Africa,AFG,ZAF,4,-29.12,26.2299,34.5167,69.1833
Afghanistan,South Africa,AFG,ZAF,4,-33.92,18.435,34.5167,69.1833
Afghanistan,South Sudan,AFG,SDS,4,4.83,31.58,34.5167,69.1833
Afghanistan,Spain,AFG,ESP,4,40.4,-3.6834,34.5167,69.1833
Afghanistan,Sri Lanka,AFG,LKA,2,6.932,79.8578,34.5167,69.1833
Afghanistan,Sri Lanka,AFG,LKA,2,6.9,79.95,34.5167,69.1833
Afghanistan,Sudan,AFG,SDN,4,15.5881,32.5342,34.5167,69.1833
Afghanistan,Suriname,AFG,SUR,4,5.835,-55.167,34.5167,69.1833
Afghanistan,Swaziland,AFG,SWZ,4,-26.3167,31.1333,34.5167,69.1833
Afghanistan,Swaziland,AFG,SWZ,4,-26.4667,31.2,34.5167,69.1833
Afghanistan,Sweden,AFG,SWE,4,59.3508,18.0973,34.5167,69.1833
Afghanistan,Switzerland,AFG,CHE,4,46.9167,7.467,34.5167,69.1833
Afghanistan,Syria,AFG,SYR,4,33.5,36.3,34.5167,69.1833
Afghanistan,Tajikistan,AFG,TJK,4,38.56,68.7739,34.5167,69.1833
Afghanistan,Tanzania,AFG,TZA,4,-6.1833,35.75,34.5167,69.1833
Afghanistan,Tanzania,AFG,TZA,4,-6.8,39.2683,34.5167,69.1833
Afghanistan,Thailand,AFG,THA,4,13.75,100.5166,34.5167,69.1833
Afghanistan,Timor-Leste,AFG,,1,-8.5594,125.5795,34.5167,69.1833
Afghanistan,Togo,AFG,TGO,1,6.1319,1.2228,34.5167,69.1833
Afghanistan,Tonga,AFG,,4,-21.1385,-175.2206,34.5167,69.1833
Afghanistan,Tunisia,AFG,TUN,4,36.8028,10.1797,34.5167,69.1833
Afghanistan,Turkey,AFG,TUR,4,39.9272,32.8644,34.5167,69.1833
Afghanistan,Turkmenistan,AFG,TKM,4,37.95,58.3833,34.5167,69.1833
Afghanistan,Tuvalu,AFG,,1,-8.5167,179.2166,34.5167,69.1833
Afghanistan,Uganda,AFG,UGA,1,0.3167,32.5833,34.5167,69.1833
Afghanistan,Ukraine,AFG,UKR,4,50.4334,30.5166,34.5167,69.1833
Afghanistan,United Arab Emirates,AFG,ARE,4,24.4667,54.3666,34.5167,69.1833
Afghanistan,United Kingdom,AFG,GBR,4,51.5,-0.1167,34.5167,69.1833
Afghanistan,United States,AFG,USA,4,38.9047,-77.0163,34.5167,69.1833
Afghanistan,Uruguay,AFG,URY,4,-34.858,-56.1711,34.5167,69.1833
Afghanistan,Uzbekistan,AFG,UZB,4,41.3117,69.2949,34.5167,69.1833
Afghanistan,Vanuatu,AFG,VUT,4,-17.7334,168.3166,34.5167,69.1833
Afghanistan,Venezuela,AFG,VEN,4,10.501,-66.917,34.5167,69.1833
Afghanistan,Vietnam,AFG,VNM,4,21.0333,105.85,34.5167,69.1833
Afghanistan,Yemen,AFG,YEM,4,15.3547,44.2066,34.5167,69.1833
Afghanistan,Zambia,AFG,ZMB,3,-15.4166,28.2833,34.5167,69.1833
Afghanistan,Zimbabwe,AFG,ZWE,3,-17.8178,31.0447,34.5167,69.1833
Albania,Afghanistan,ALB,AFG,4,34.5167,69.1833,41.3275,19.8189
Albania,Albania,ALB,ALB,5,41.3275,19.8189,41.3275,19.8189
Albania,Algeria,ALB,DZA,4,36.7631,3.0506,41.3275,19.8189
Albania,Andorra,ALB,,0,42.5,1.5165,41.3275,19.8189
Albania,Angola,ALB,AGO,4,-8.8383,13.2344,41.3275,19.8189
Albania,Argentina,ALB,ARG,4,-34.6025,-58.3975,41.3275,19.8189
Albania,Armenia,ALB,ARM,1,40.1812,44.5136,41.3275,19.8189
Albania,Australia,ALB,AUS,4,-35.283,149.129,41.3275,19.8189
Albania,Austria,ALB,AUT,0,48.2,16.3666,41.3275,19.8189
Albania,Azerbaijan,ALB,AZE,3,40.3953,49.8622,41.3275,19.8189
Albania,Bahrain,ALB,,4,26.2361,50.5831,41.3275,19.8189
Albania,Bangladesh,ALB,BGD,1,23.7231,90.4086,41.3275,19.8189
Albania,Barbados,ALB,,0,13.102,-59.6165,41.3275,19.8189
Albania,Belarus,ALB,BLR,0,53.9,27.5666,41.3275,19.8189
Albania,Belgium,ALB,BEL,0,50.8333,4.3333,41.3275,19.8189
Albania,Belize,ALB,BLZ,4,17.252,-88.7671,41.3275,19.8189
Albania,Benin,ALB,BEN,4,6.4833,2.6166,41.3275,19.8189
Albania,Benin,ALB,BEN,4,6.4,2.52,41.3275,19.8189
Albania,Bhutan,ALB,BTN,4,27.473,89.639,41.3275,19.8189
Albania,Bolivia,ALB,BOL,1,-16.498,-68.15,41.3275,19.8189
Albania,Bolivia,ALB,BOL,1,-19.041,-65.2595,41.3275,19.8189
Albania,Botswana,ALB,BWA,4,-24.6463,25.9119,41.3275,19.8189
Albania,Brazil,ALB,BRA,0,-15.7833,-47.9161,41.3275,19.8189
Albania,Brunei,ALB,BRN,4,4.8833,114.9333,41.3275,19.8189
Albania,Bulgaria,ALB,BGR,0,42.6833,23.3167,41.3275,19.8189
Albania,Burkina Faso,ALB,BFA,4,12.3703,-1.5247,41.3275,19.8189
Albania,Burundi,ALB,BDI,4,-3.3761,29.36,41.3275,19.8189
Albania,Cambodia,ALB,KHM,1,11.55,104.9166,41.3275,19.8189
Albania,Cameroon,ALB,CMR,4,3.8667,11.5167,41.3275,19.8189
Albania,Canada,ALB,CAN,4,45.4167,-75.7,41.3275,19.8189
Albania,Central African Republic,ALB,CAF,4,4.3666,18.5583,41.3275,19.8189
Albania,Chad,ALB,TCD,4,12.1131,15.0491,41.3275,19.8189
Albania,Chile,ALB,CHL,0,-33.45,-70.667,41.3275,19.8189
Albania,China,ALB,CHN,4,39.9289,116.3883,41.3275,19.8189
Albania,Colombia,ALB,COL,4,4.5964,-74.0833,41.3275,19.8189
Albania,Comoros,ALB,,1,-11.7042,43.2402,41.3275,19.8189
Albania,Costa Rica,ALB,CRI,4,9.935,-84.0841,41.3275,19.8189
Albania,Croatia,ALB,HRV,0,45.8,16,41.3275,19.8189
Albania,Cuba,ALB,CUB,4,23.132,-82.3642,41.3275,19.8189
Albania,Cyprus,ALB,CYP,0,35.1667,33.3666,41.3275,19.8189
Albania,Denmark,ALB,DNK,0,55.6786,12.5635,41.3275,19.8189
Albania,Djibouti,ALB,DJI,1,11.595,43.148,41.3275,19.8189
Albania,Dominica,ALB,,0,15.301,-61.387,41.3275,19.8189
Albania,Dominican Republic,ALB,DOM,1,18.4701,-69.9001,41.3275,19.8189
Albania,Ecuador,ALB,ECU,0,-0.215,-78.5001,41.3275,19.8189
Albania,Egypt,ALB,EGY,1,30.05,31.25,41.3275,19.8189
Albania,El Salvador,ALB,SLV,4,13.71,-89.203,41.3275,19.8189
Albania,Equatorial Guinea,ALB,GNQ,4,3.75,8.7833,41.3275,19.8189
Albania,Eritrea,ALB,ERI,4,15.3333,38.9333,41.3275,19.8189
Albania,Estonia,ALB,EST,0,59.4339,24.728,41.3275,19.8189
Albania,Ethiopia,ALB,ETH,4,9.0333,38.7,41.3275,19.8189
Albania,Fiji,ALB,FJI,4,-18.133,178.4417,41.3275,19.8189
Albania,Finland,ALB,FIN,0,60.1756,24.9341,41.3275,19.8189
Albania,France,ALB,FRA,0,48.8667,2.3333,41.3275,19.8189
Albania,Gabon,ALB,GAB,3,0.3854,9.458,41.3275,19.8189
Albania,Georgia,ALB,GEO,0,41.725,44.7908,41.3275,19.8189
Albania,Germany,ALB,DEU,0,52.5218,13.4015,41.3275,19.8189
Albania,Ghana,ALB,GHA,4,5.55,-0.2167,41.3275,19.8189
Albania,Greece,ALB,GRC,0,37.9833,23.7333,41.3275,19.8189
Albania,Grenada,ALB,,4,12.0526,-61.7416,41.3275,19.8189
Albania,Guatemala,ALB,GTM,4,14.6211,-90.527,41.3275,19.8189
Albania,Guinea,ALB,GIN,4,9.5315,-13.6802,41.3275,19.8189
Albania,Guinea-Bissau,ALB,GNB,1,11.865,-15.5984,41.3275,19.8189
Albania,Guyana,ALB,GUY,4,6.802,-58.167,41.3275,19.8189
Albania,Haiti,ALB,HTI,0,18.541,-72.336,41.3275,19.8189
Albania,Honduras,ALB,HND,4,14.102,-87.2175,41.3275,19.8189
Albania,Hungary,ALB,HUN,0,47.5,19.0833,41.3275,19.8189
Albania,Iceland,ALB,ISL,0,64.15,-21.95,41.3275,19.8189
Albania,India,ALB,IND,3,28.6,77.2,41.3275,19.8189
Albania,Indonesia,ALB,IDN,0,-6.1744,106.8294,41.3275,19.8189
Albania,Iran,ALB,IRN,1,35.6719,51.4243,41.3275,19.8189
Albania,Iraq,ALB,IRQ,4,33.3386,44.3939,41.3275,19.8189
